Date;City, State ;School Name ;State;School Type ;Category;Attack;Latitude;Longitude
04 25 2017;Orem, UT ;Utah Valley University ;UT;College ;Gun fired but no one injured;0;40.278831;-111.715197
04 15 2017;Tulsa, OK ;Booker T. Washington High School ;OK;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.188142;-95.970535
04 10 2017;San Bernardino, CA ;North Park Elementary School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;34.179296;-117.301319
04 07 2017;St. Paul, MN ;University of St. Thomas ;MN;College ;Gun fired unintentionally resulting in injury or death;0;44.941751;-93.191491
03 31 2017;Pensacola, FL ;University of West Florida ;FL;College ;Gun fired but no one injured;0;30.546935;-87.216022
03 15 2017;Gaffney, SC ;Limestone College ;SC;College ;Gun fired but no one injured;0;35.055653;-81.649891
03 13 2017;Wilberforce, OH ;Central State University ;OH;College ;Attack on other persons(s) resulting in injury or death;1;39.716782;-83.87647
02 06 2017;Scotlandville, LA ;Scotlandville High School ;LA;K-12 ;Gun fired but no one injured;0;30.533459;-91.176736
01 27 2017;Aiken, SC ;South Aiken High School ;SC;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.521916;-81.712799
01 22 2017;Manhattan, KS ;Kansas State University ;KS;College ;Gun fired unintentionally resulting in injury or death;0;39.197444;-96.584725
01 20 2017;West Liberty, OH ;West Liberty-Salem High School ;OH;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.21598;-83.754573
01 17 2017;Eastpoint, FL ;Franklin County Elementary School ;FL;K-12 ;Gun fired but no one injured;0;29.743414;-84.875647
01 10 2017;Alexander City, AL ;Alexander City Middle School ;AL;K-12 ;Gun fired but no one injured;0;32.945246;-85.948672
01 05 2017;Lebanon, OH ;Warren County Career Center ;OH;College ;Attempted or completed suicide, with no intent to injure other person;0;39.490003;-84.205871
12 29 2016;Salt Lake City, UT ;University of Utah ;UT;College ;Attack on other persons(s) resulting in injury or death;1;40.764937;-111.842102
